taxon_1	taxon_2	distance_KM	DNA	Morph
Mwe_350_01	Mfa_507_01	94.2	0.159091471	0.72076266
Mwe_350_01	Mks_401_01	80.7	0.140968708	0.41763459
Mwe_350_01	Mro_554_01	81.5	0.126384803	0.53058526
Mwe_350_01	Mpi_508_01	91.5	0.122579064	0.70779057
Mwe_350_01	Mpi_508_03	91.5	0.122579064	0.62060167
Mwe_350_01	Mpr_404_03	86.7	0.123606852	0.47576016
Mwe_350_01	Msi_553_01	86.7	0.132071158	0.73584942
Mwe_350_01	Msi_553_05	86.7	0.123647958	0.78954275
Mwe_350_01	Mst_510_01	107.1	0.146879851	0.55728765
Mfa_507_01	Mdo_537_01	6.2	0.114889443	0.59095317
Mks_401_01	Mdo_537_01	63.4	0.118347657	0.40627795
Mro_554_01	Mdo_537_01	47	0.087475877	0.53529896
Mpi_508_01	Mdo_537_01	6.4	0.252737967	0.5995386
Mpi_508_03	Mdo_537_01	6.4	0.188084015	0.62732949
Mpr_404_03	Mdo_537_01	20.5	0.090348486	0.46006322
Msi_553_01	Mdo_537_01	28.2	0.100487495	0.56884876
Msi_553_05	Mdo_537_01	28.2	0.090319187	0.61791785
Mst_510_01	Mdo_537_01	13.9	0.112537297	0.6709827
Mfu_474_02	Mem_387_02	68.8	0.117044616	0.76986744
Mgo_473_01	Mem_387_02	68.9	0.092025055	0.5570257
Mgr_375_01	Mem_387_02	57.8	0.142831967	1.0215193
Mjn_382_02	Mem_387_02	33.9	0.093498211	0.9779835
Mjn_383_01	Mem_387_02	33.9	0.090179763	0.72529223
Mwe_350_01	Mem_387_02	50.2	0.11285374	0.50795586
Mpa_392_01	Mem_387_02	36.1	0.110674831	1.2347275
Mir_376_01	Mem_387_02	49.1	0.104510344	0.80344935
Mrl_381_01	Mem_387_02	37.7	0.104510344	0.80344935
Mdo_537_01	Mem_387_02	144.6	0.135072925	0.61355974
Mfa_507_01	Mem_387_02	139.3	0.125036637	0.97730013
Mks_401_01	Mem_387_02	113.2	0.104813116	0.79126666
Mro_554_01	Mem_387_02	119.6	0.106525475	0.6822127
Mpi_508_01	Mem_387_02	138.1	0.110158776	0.97112296
Mpi_508_03	Mem_387_02	138.1	0.110158776	0.87732652
Mpr_404_03	Mem_387_02	135.3	0.102924747	0.59238351
Msi_553_01	Mem_387_02	130.9	0.102814472	0.9972537
Msi_553_05	Mem_387_02	130.9	0.102890905	1.0485953
Mst_510_01	Mem_387_02	156.6	0.124094056	0.6496699
Mks_401_01	Mfa_507_01	63.6	0.113535117	0.54844018
Mro_554_01	Mfa_507_01	48.3	0.099037019	0.56271948
Mpi_508_01	Mfa_507_01	2.8	0.264017614	0.91186966
Mpi_508_03	Mfa_507_01	2.8	0.186830383	0.96458402
Mpr_404_03	Mfa_507_01	21.3	0.099550047	0.60339261
Msi_553_01	Mfa_507_01	29.2	0.110747817	0.47918022
Msi_553_05	Mfa_507_01	29.2	0.09951736	0.45601933
Mst_510_01	Mfa_507_01	17.3	0.130050141	0.94295918
Mgo_473_01	Mfu_474_02	2.5	0.092025055	0.5570257
Mgr_375_01	Mfu_474_02	121.5	0.142831967	1.0215193
Mjn_382_02	Mfu_474_02	94.9	0.12216776	0.64803755
Mjn_383_01	Mfu_474_02	94.9	0.122086455	0.5803095
Mwe_350_01	Mfu_474_02	30.1	0.123928588	0.63994558
Mpa_392_01	Mfu_474_02	51.6	0.141459346	0.79861876
Mir_376_01	Mfu_474_02	119.7	0.109720632	0.60072802
Mrl_381_01	Mfu_474_02	99.7	0.136203859	0.83439598
Mdo_537_01	Mfu_474_02	95.3	0.159600746	0.57528177
Mfa_507_01	Mfu_474_02	95.6	0.155129505	0.50431414
Mks_401_01	Mfu_474_02	99.2	0.133264987	0.66726592
Mro_554_01	Mfu_474_02	101.2	0.131505054	0.6582214
Mpi_508_01	Mfu_474_02	95.4	0.207432571	0.88930109
Mpi_508_03	Mfu_474_02	95.4	0.207432571	0.92038778
Mpr_404_03	Mfu_474_02	98.3	0.130045323	0.40093278
Msi_553_01	Mfu_474_02	101.2	0.131617666	0.54090439
Msi_553_05	Mfu_474_02	101.2	0.130089111	0.55418542
Mst_510_01	Mfu_474_02	107.4	0.134015332	0.77066168
Mgr_375_01	Mgo_473_01	118.3	0.14399663	1.1677032
Mjn_382_02	Mgo_473_01	91.5	0.090554114	0.91015766
Mjn_383_01	Mgo_473_01	91.5	0.100466936	0.65011203
Mwe_350_01	Mgo_473_01	28.8	0.115432337	0.82953733
Mpa_392_01	Mgo_473_01	47.8	0.118790887	0.65148356
Mir_376_01	Mgo_473_01	109.4	0.116548848	0.71167487
Mrl_381_01	Mgo_473_01	93.8	0.087613523	0.73119819
Mdo_537_01	Mgo_473_01	103.4	0.154817422	0.6785882
Mfa_507_01	Mgo_473_01	97.7	0.149973456	0.87310577
Mks_401_01	Mgo_473_01	103.2	0.115063855	0.83236355
Mro_554_01	Mgo_473_01	101.6	0.096035927	0.90088043
Mpi_508_03	Mgo_473_01	98.4	0.177796419	0.87516386
Mpi_508_01	Mgo_473_01	98.4	0.126294164	0.64242597
Mpr_404_03	Mgo_473_01	101.2	0.123636875	0.59071281
Msi_553_01	Mgo_473_01	101.8	0.124433326	0.68274963
Msi_553_05	Mgo_473_01	101.8	0.127155568	0.73301111
Mst_510_01	Mgo_473_01	109.7	0.135889984	0.79108191
Mjn_382_02	Mgr_375_01	26.5	0.142343169	1.2976651
Mjn_383_01	Mgr_375_01	26.5	0.146652676	1.1467742
Mwe_350_01	Mgr_375_01	93.4	0.14002167	0.6524468
Mpa_392_01	Mgr_375_01	70.8	0.165988007	1.4956433
Mir_376_01	Mgr_375_01	18.3	0.126048508	0.90403037
Mrl_381_01	Mgr_375_01	24.7	0.120551165	1.0885871
Mdo_537_01	Mgr_375_01	159.7	0.165529464	0.80106361
Mfa_507_01	Mgr_375_01	158.1	0.176704051	1.1603032
Mks_401_01	Mgr_375_01	99.4	0.161300991	0.8410942
Mro_554_01	Mgr_375_01	112.1	0.133808138	0.89130706
Mpi_508_01	Mgr_375_01	157.4	0.139222314	1.3050867
Mpi_508_03	Mgr_375_01	157.4	0.139222314	1.2197764
Mpr_404_03	Mgr_375_01	142.6	0.119607596	0.75671595
Msi_553_01	Mgr_375_01	137.4	0.153673909	1.2910684
Msi_553_05	Mgr_375_01	137.4	0.121355524	1.3233615
Mst_510_01	Mgr_375_01	152.1	0.160872047	0.87460514
Mrl_381_01	Mir_376_01	14.6	0.073319846	0.53307793
Mdo_537_01	Mir_376_01	157.4	0.140451113	0.30313773
Mfa_507_01	Mir_376_01	158.3	0.130186902	0.66342789
Mks_401_01	Mir_376_01	108.1	0.108402345	0.53776064
